epoch,mode,loss,accuracy
1,Train,2.298623e+00,1.089400e-01
1,Test,2.249153e+00,1.859000e-01
2,Train,2.133004e+00,2.130400e-01
2,Test,1.966569e+00,2.935000e-01
3,Train,1.955145e+00,2.815200e-01
3,Test,1.817884e+00,3.416000e-01
4,Train,1.861749e+00,3.123000e-01
4,Test,1.762861e+00,3.530000e-01
5,Train,1.822010e+00,3.233000e-01
5,Test,1.721515e+00,3.600000e-01
6,Train,1.774541e+00,3.376800e-01
6,Test,1.691993e+00,3.723000e-01
7,Train,1.748439e+00,3.467400e-01
7,Test,1.646571e+00,3.836000e-01
8,Train,1.713567e+00,3.633600e-01
8,Test,1.629620e+00,3.932000e-01
9,Train,1.695742e+00,3.695000e-01
9,Test,1.614133e+00,4.024000e-01
10,Train,1.661992e+00,3.775800e-01
10,Test,1.583502e+00,4.069000e-01
11,Train,1.642130e+00,3.910200e-01
11,Test,1.594754e+00,4.104000e-01
12,Train,1.632721e+00,3.940200e-01
12,Test,1.516757e+00,4.292000e-01
13,Train,1.599326e+00,4.075600e-01
13,Test,1.522274e+00,4.379000e-01
14,Train,1.582513e+00,4.177600e-01
14,Test,1.477484e+00,4.534000e-01
15,Train,1.565397e+00,4.258800e-01
15,Test,1.456688e+00,4.572000e-01
16,Train,1.541778e+00,4.322200e-01
16,Test,1.436096e+00,4.734000e-01
17,Train,1.534061e+00,4.387400e-01
17,Test,1.428427e+00,4.719000e-01
18,Train,1.516675e+00,4.463400e-01
18,Test,1.411295e+00,4.833000e-01
19,Train,1.507633e+00,4.476200e-01
19,Test,1.381947e+00,4.882000e-01
20,Train,1.486235e+00,4.582400e-01
20,Test,1.375094e+00,4.947000e-01
21,Train,1.478583e+00,4.618400e-01
21,Test,1.386193e+00,4.908000e-01
22,Train,1.466299e+00,4.652400e-01
22,Test,1.350030e+00,5.059000e-01
23,Train,1.452240e+00,4.707600e-01
23,Test,1.336621e+00,5.070000e-01
24,Train,1.434011e+00,4.807200e-01
24,Test,1.326641e+00,5.132000e-01
25,Train,1.426313e+00,4.846600e-01
25,Test,1.309770e+00,5.206000e-01
26,Train,1.407058e+00,4.903000e-01
26,Test,1.295473e+00,5.263000e-01
27,Train,1.400780e+00,4.917600e-01
27,Test,1.291066e+00,5.284000e-01
28,Train,1.406346e+00,4.910400e-01
28,Test,1.293261e+00,5.254000e-01
29,Train,1.383332e+00,5.005400e-01
29,Test,1.266774e+00,5.370000e-01
30,Train,1.375005e+00,5.059200e-01
30,Test,1.272740e+00,5.336000e-01
31,Train,1.368821e+00,5.096800e-01
