epoch,mode,loss,accuracy
1,Train,2.285518e+00,1.446400e-01
1,Test,2.223133e+00,1.763000e-01
2,Train,2.155944e+00,2.072400e-01
2,Test,2.015065e+00,2.892000e-01
3,Train,1.981418e+00,2.814600e-01
3,Test,1.853984e+00,3.534000e-01
4,Train,1.870447e+00,3.287400e-01
4,Test,1.767181e+00,3.740000e-01
5,Train,1.803443e+00,3.522200e-01
5,Test,1.708046e+00,3.955000e-01
6,Train,1.757413e+00,3.686600e-01
6,Test,1.655530e+00,4.116000e-01
7,Train,1.714924e+00,3.833000e-01
7,Test,1.619317e+00,4.229000e-01
8,Train,1.681839e+00,3.968600e-01
8,Test,1.580517e+00,4.323000e-01
9,Train,1.653520e+00,4.060800e-01
9,Test,1.558610e+00,4.390000e-01
10,Train,1.628942e+00,4.137400e-01
10,Test,1.530240e+00,4.507000e-01
11,Train,1.606628e+00,4.190600e-01
11,Test,1.516659e+00,4.536000e-01
12,Train,1.589697e+00,4.294600e-01
12,Test,1.503606e+00,4.550000e-01
13,Train,1.576482e+00,4.313000e-01
13,Test,1.484279e+00,4.579000e-01
14,Train,1.566400e+00,4.348800e-01
14,Test,1.480340e+00,4.639000e-01
15,Train,1.554284e+00,4.426000e-01
15,Test,1.464195e+00,4.706000e-01
16,Train,1.539902e+00,4.460400e-01
16,Test,1.459216e+00,4.743000e-01
17,Train,1.534799e+00,4.477200e-01
17,Test,1.439657e+00,4.760000e-01
18,Train,1.520944e+00,4.517800e-01
18,Test,1.432761e+00,4.802000e-01
19,Train,1.512721e+00,4.555600e-01
19,Test,1.432787e+00,4.801000e-01
20,Train,1.506680e+00,4.593600e-01
20,Test,1.417219e+00,4.843000e-01
21,Train,1.497910e+00,4.629000e-01
21,Test,1.414064e+00,4.856000e-01
22,Train,1.488732e+00,4.662000e-01
22,Test,1.404808e+00,4.961000e-01
23,Train,1.480104e+00,4.688800e-01
23,Test,1.411652e+00,4.891000e-01
24,Train,1.484019e+00,4.667400e-01
24,Test,1.396870e+00,4.920000e-01
25,Train,1.474240e+00,4.708200e-01
25,Test,1.386294e+00,4.987000e-01
26,Train,1.464531e+00,4.737400e-01
26,Test,1.385037e+00,5.007000e-01
27,Train,1.458891e+00,4.758600e-01
27,Test,1.367544e+00,5.049000e-01
28,Train,1.455300e+00,4.772400e-01
28,Test,1.366397e+00,5.075000e-01
29,Train,1.445305e+00,4.821800e-01
29,Test,1.356999e+00,5.105000e-01
30,Train,1.440823e+00,4.839000e-01
30,Test,1.359392e+00,5.055000e-01
31,Train,1.437254e+00,4.822000e-01
31,Test,1.350989e+00,5.150000e-01
32,Train,1.430649e+00,4.875600e-01
32,Test,1.344920e+00,5.169000e-01
33,Train,1.432752e+00,4.874200e-01
33,Test,1.349562e+00,5.104000e-01
34,Train,1.425237e+00,4.884800e-01
34,Test,1.344919e+00,5.093000e-01
35,Train,1.415592e+00,4.948400e-01
35,Test,1.325768e+00,5.223000e-01
36,Train,1.410600e+00,4.933000e-01
36,Test,1.325908e+00,5.215000e-01
37,Train,1.407824e+00,4.954000e-01
37,Test,1.322041e+00,5.212000e-01
38,Train,1.408145e+00,4.963200e-01
38,Test,1.325754e+00,5.223000e-01
39,Train,1.403608e+00,4.974800e-01
39,Test,1.321673e+00,5.238000e-01
40,Train,1.397905e+00,5.001800e-01
40,Test,1.305930e+00,5.309000e-01
41,Train,1.391631e+00,5.008600e-01
41,Test,1.302623e+00,5.311000e-01
42,Train,1.391027e+00,5.038800e-01
42,Test,1.309005e+00,5.265000e-01
