epoch,mode,loss,accuracy
1,Train,2.281446e+00,1.668800e-01
1,Test,2.175977e+00,2.480000e-01
2,Train,2.081375e+00,2.405000e-01
2,Test,1.968366e+00,3.031000e-01
3,Train,1.980508e+00,2.836800e-01
3,Test,1.892041e+00,3.271000e-01
4,Train,1.897856e+00,3.183200e-01
4,Test,1.808356e+00,3.581000e-01
5,Train,1.831219e+00,3.381000e-01
5,Test,1.736453e+00,3.820000e-01
6,Train,1.781328e+00,3.586000e-01
6,Test,1.692544e+00,3.959000e-01
7,Train,1.749932e+00,3.716400e-01
7,Test,1.666576e+00,4.095000e-01
8,Train,1.722340e+00,3.773400e-01
8,Test,1.634020e+00,4.159000e-01
9,Train,1.702069e+00,3.882800e-01
9,Test,1.609659e+00,4.261000e-01
10,Train,1.684885e+00,3.911600e-01
10,Test,1.593456e+00,4.299000e-01
11,Train,1.661785e+00,3.968400e-01
11,Test,1.582254e+00,4.295000e-01
12,Train,1.644693e+00,4.038600e-01
12,Test,1.554737e+00,4.398000e-01
13,Train,1.627993e+00,4.126200e-01
13,Test,1.537995e+00,4.422000e-01
14,Train,1.617276e+00,4.134000e-01
14,Test,1.528155e+00,4.484000e-01
15,Train,1.601755e+00,4.213600e-01
15,Test,1.514827e+00,4.496000e-01
16,Train,1.588978e+00,4.248000e-01
16,Test,1.501364e+00,4.551000e-01
17,Train,1.575819e+00,4.285400e-01
17,Test,1.485112e+00,4.560000e-01
18,Train,1.564469e+00,4.339200e-01
18,Test,1.502779e+00,4.547000e-01
19,Train,1.552347e+00,4.390400e-01
19,Test,1.471016e+00,4.600000e-01
20,Train,1.547308e+00,4.436400e-01
20,Test,1.452942e+00,4.708000e-01
21,Train,1.532258e+00,4.474800e-01
21,Test,1.446591e+00,4.721000e-01
22,Train,1.523674e+00,4.504600e-01
22,Test,1.435357e+00,4.738000e-01
23,Train,1.518628e+00,4.501800e-01
23,Test,1.428522e+00,4.778000e-01
24,Train,1.510661e+00,4.561000e-01
24,Test,1.418913e+00,4.808000e-01
25,Train,1.504144e+00,4.557400e-01
25,Test,1.414682e+00,4.804000e-01
26,Train,1.496010e+00,4.588000e-01
26,Test,1.404611e+00,4.866000e-01
27,Train,1.487687e+00,4.632200e-01
27,Test,1.405768e+00,4.872000e-01
28,Train,1.480240e+00,4.656600e-01
28,Test,1.393752e+00,4.866000e-01
29,Train,1.475225e+00,4.675400e-01
29,Test,1.394081e+00,4.879000e-01
30,Train,1.465894e+00,4.688400e-01
30,Test,1.386594e+00,4.944000e-01
31,Train,1.462678e+00,4.700600e-01
31,Test,1.377722e+00,4.972000e-01
32,Train,1.454463e+00,4.744200e-01
32,Test,1.365759e+00,4.990000e-01
33,Train,1.452072e+00,4.746600e-01
33,Test,1.369707e+00,5.007000e-01
34,Train,1.442154e+00,4.795000e-01
34,Test,1.357451e+00,5.057000e-01
35,Train,1.433142e+00,4.823200e-01
35,Test,1.348167e+00,5.012000e-01
36,Train,1.430330e+00,4.843600e-01
36,Test,1.359351e+00,5.071000e-01
37,Train,1.429015e+00,4.853200e-01
37,Test,1.340332e+00,5.100000e-01
38,Train,1.423547e+00,4.862000e-01
38,Test,1.339874e+00,5.108000e-01
39,Train,1.423450e+00,4.896000e-01
39,Test,1.335716e+00,5.147000e-01
40,Train,1.415758e+00,4.906600e-01
40,Test,1.336085e+00,5.147000e-01
41,Train,1.406963e+00,4.924200e-01
41,Test,1.333726e+00,5.125000e-01
42,Train,1.406710e+00,4.935200e-01
42,Test,1.321924e+00,5.121000e-01
43,Train,1.396131e+00,4.958200e-01
43,Test,1.310653e+00,5.240000e-01
44,Train,1.390535e+00,4.997600e-01
44,Test,1.303103e+00,5.245000e-01
45,Train,1.391261e+00,4.993800e-01
45,Test,1.299053e+00,5.261000e-01
46,Train,1.384626e+00,5.013800e-01
46,Test,1.298504e+00,5.278000e-01
47,Train,1.374993e+00,5.056000e-01
47,Test,1.291878e+00,5.293000e-01
48,Train,1.379992e+00,5.045800e-01
48,Test,1.287540e+00,5.325000e-01
49,Train,1.369538e+00,5.068200e-01
49,Test,1.279822e+00,5.343000e-01
50,Train,1.366805e+00,5.067400e-01
50,Test,1.284647e+00,5.299000e-01
