epoch,mode,loss,accuracy
1,Train,2.267736e+00,2.039000e-01
1,Test,2.193362e+00,2.413000e-01
2,Train,2.104056e+00,2.603000e-01
2,Test,2.040132e+00,2.942000e-01
3,Train,2.005682e+00,3.052600e-01
3,Test,1.965615e+00,3.199000e-01
4,Train,1.945694e+00,3.262400e-01
4,Test,1.924452e+00,3.366000e-01
5,Train,1.918939e+00,3.378200e-01
5,Test,1.899692e+00,3.470000e-01
6,Train,1.895718e+00,3.479800e-01
6,Test,1.880627e+00,3.522000e-01
7,Train,1.874509e+00,3.552400e-01
7,Test,1.862375e+00,3.627000e-01
8,Train,1.857353e+00,3.637400e-01
8,Test,1.842161e+00,3.674000e-01
9,Train,1.839489e+00,3.708000e-01
9,Test,1.827331e+00,3.778000e-01
10,Train,1.816693e+00,3.802400e-01
10,Test,1.806472e+00,3.827000e-01
11,Train,1.798363e+00,3.887600e-01
11,Test,1.781286e+00,3.940000e-01
12,Train,1.782736e+00,3.940200e-01
12,Test,1.769238e+00,4.013000e-01
13,Train,1.766705e+00,4.013800e-01
13,Test,1.762193e+00,3.981000e-01
14,Train,1.752859e+00,4.055000e-01
14,Test,1.732984e+00,4.070000e-01
15,Train,1.739095e+00,4.093200e-01
15,Test,1.722836e+00,4.112000e-01
16,Train,1.724041e+00,4.180200e-01
16,Test,1.713151e+00,4.161000e-01
17,Train,1.718824e+00,4.187200e-01
17,Test,1.712528e+00,4.160000e-01
18,Train,1.708643e+00,4.201600e-01
18,Test,1.705829e+00,4.177000e-01
19,Train,1.698875e+00,4.263200e-01
19,Test,1.693930e+00,4.242000e-01
20,Train,1.691149e+00,4.270000e-01
20,Test,1.684714e+00,4.237000e-01
21,Train,1.684767e+00,4.304000e-01
21,Test,1.683737e+00,4.218000e-01
22,Train,1.679309e+00,4.318800e-01
22,Test,1.669550e+00,4.326000e-01
23,Train,1.674643e+00,4.338200e-01
23,Test,1.673658e+00,4.280000e-01
24,Train,1.673109e+00,4.338400e-01
24,Test,1.673651e+00,4.300000e-01
25,Train,1.660790e+00,4.379200e-01
25,Test,1.655069e+00,4.360000e-01
26,Train,1.655047e+00,4.410800e-01
26,Test,1.654264e+00,4.374000e-01
27,Train,1.654668e+00,4.391800e-01
27,Test,1.652147e+00,4.369000e-01
28,Train,1.644995e+00,4.422000e-01
28,Test,1.644581e+00,4.395000e-01
29,Train,1.639938e+00,4.456600e-01
29,Test,1.639789e+00,4.411000e-01
30,Train,1.633255e+00,4.493400e-01
30,Test,1.636193e+00,4.422000e-01
31,Train,1.630512e+00,4.484000e-01
31,Test,1.628995e+00,4.457000e-01
32,Train,1.627471e+00,4.503000e-01
32,Test,1.624385e+00,4.466000e-01
33,Train,1.622106e+00,4.523400e-01
33,Test,1.620109e+00,4.479000e-01
34,Train,1.614501e+00,4.542200e-01
34,Test,1.616390e+00,4.500000e-01
35,Train,1.611889e+00,4.549800e-01
35,Test,1.622645e+00,4.456000e-01
36,Train,1.609461e+00,4.567000e-01
36,Test,1.614164e+00,4.514000e-01
37,Train,1.603901e+00,4.582400e-01
37,Test,1.613094e+00,4.524000e-01
38,Train,1.596774e+00,4.612800e-01
38,Test,1.601232e+00,4.529000e-01
39,Train,1.595604e+00,4.613400e-01
39,Test,1.601694e+00,4.537000e-01
40,Train,1.588132e+00,4.646600e-01
40,Test,1.593167e+00,4.599000e-01
41,Train,1.586214e+00,4.637000e-01
41,Test,1.591146e+00,4.550000e-01
42,Train,1.582472e+00,4.664000e-01
42,Test,1.584751e+00,4.598000e-01
43,Train,1.575184e+00,4.689800e-01
43,Test,1.582534e+00,4.609000e-01
44,Train,1.574873e+00,4.697400e-01
44,Test,1.581004e+00,4.628000e-01
45,Train,1.569636e+00,4.699800e-01
45,Test,1.575117e+00,4.630000e-01
46,Train,1.562892e+00,4.727600e-01
46,Test,1.573187e+00,4.646000e-01
47,Train,1.563628e+00,4.718400e-01
47,Test,1.584257e+00,4.618000e-01
48,Train,1.557215e+00,4.753800e-01
48,Test,1.567438e+00,4.668000e-01
49,Train,1.553054e+00,4.765600e-01
49,Test,1.564584e+00,4.672000e-01
50,Train,1.547749e+00,4.775400e-01
50,Test,1.563188e+00,4.683000e-01
