epoch,mode,loss,accuracy
1,Train,4.587606e+00,1.834000e-02
1,Test,4.518594e+00,2.580000e-02
2,Train,4.449440e+00,3.984000e-02
2,Test,4.380810e+00,5.650000e-02
3,Train,4.371134e+00,5.636000e-02
3,Test,4.329512e+00,6.790000e-02
4,Train,4.330381e+00,6.698000e-02
4,Test,4.290436e+00,8.120000e-02
5,Train,4.294848e+00,7.736000e-02
5,Test,4.253744e+00,9.620000e-02
6,Train,4.261136e+00,8.724000e-02
6,Test,4.216108e+00,1.054000e-01
7,Train,4.225572e+00,9.664000e-02
7,Test,4.185011e+00,1.128000e-01
8,Train,4.200952e+00,1.016000e-01
8,Test,4.155500e+00,1.151000e-01
9,Train,4.170971e+00,1.099800e-01
9,Test,4.130368e+00,1.213000e-01
10,Train,4.157215e+00,1.114800e-01
10,Test,4.110972e+00,1.274000e-01
11,Train,4.131059e+00,1.190600e-01
11,Test,4.097449e+00,1.288000e-01
12,Train,4.116112e+00,1.207800e-01
12,Test,4.086437e+00,1.280000e-01
13,Train,4.104355e+00,1.249000e-01
13,Test,4.067503e+00,1.325000e-01
14,Train,4.088698e+00,1.263200e-01
14,Test,4.055460e+00,1.366000e-01
15,Train,4.075634e+00,1.292200e-01
15,Test,4.045558e+00,1.373000e-01
16,Train,4.068917e+00,1.306000e-01
16,Test,4.047905e+00,1.386000e-01
17,Train,4.053174e+00,1.356200e-01
17,Test,4.030503e+00,1.408000e-01
18,Train,4.042781e+00,1.366800e-01
18,Test,4.013357e+00,1.442000e-01
19,Train,4.034186e+00,1.387400e-01
19,Test,4.006698e+00,1.418000e-01
20,Train,4.023856e+00,1.404000e-01
20,Test,3.994217e+00,1.483000e-01
21,Train,4.015567e+00,1.438200e-01
21,Test,3.985948e+00,1.472000e-01
22,Train,4.004878e+00,1.444400e-01
22,Test,3.986046e+00,1.524000e-01
23,Train,4.001651e+00,1.457400e-01
23,Test,3.973723e+00,1.526000e-01
24,Train,3.989858e+00,1.497800e-01
24,Test,3.963459e+00,1.567000e-01
25,Train,3.985169e+00,1.504400e-01
25,Test,3.958357e+00,1.554000e-01
26,Train,3.970694e+00,1.527800e-01
26,Test,3.951820e+00,1.594000e-01
27,Train,3.965623e+00,1.548200e-01
27,Test,3.946585e+00,1.595000e-01
28,Train,3.956952e+00,1.584400e-01
