0.370, {'P0P_ksize': 3, 'L2_unit': 200, 'P2P_ksize': 2, 'P0C_feature': 32, 'L2_dropout': 0.0, 'P1P_ksize': 2, 'P2C_filter': 3, 'P0C_filter': 3, 'P2C_feature': 16, 'N_PLayers': 4, 'L1_dropout': 0.5, 'P1C_feature': 32, 'P1C_filter': 3}
0.323, {'P0P_ksize': 3, 'L2_unit': 200, 'P2P_ksize': 2, 'P0C_feature': 32, 'L2_dropout': 0.0, 'P1P_ksize': 2, 'P2C_filter': 3, 'P0C_filter': 3, 'P2C_feature': 16, 'N_PLayers': 5, 'L1_dropout': 0.5, 'P1C_feature': 32, 'P1C_filter': 3}
0.382, {'P0P_ksize': 3, 'L2_unit': 200, 'P2P_ksize': 2, 'P0C_feature': 32, 'L2_dropout': 0.0, 'P1P_ksize': 2, 'P2C_filter': 3, 'P0C_filter': 3, 'P2C_feature': 16, 'N_PLayers': 3, 'L1_dropout': 0.5, 'P1C_feature': 32, 'P1C_filter': 3}
0.398, {'P0P_ksize': 3, 'L2_unit': 200, 'P2P_ksize': 2, 'P0C_feature': 32, 'L2_dropout': 0.0, 'P1P_ksize': 2, 'P2C_filter': 3, 'P0C_filter': 3, 'P2C_feature': 16, 'N_PLayers': 2, 'L1_dropout': 0.5, 'P1C_feature': 32, 'P1C_filter': 3}
0.400, {'P0P_ksize': 3, 'L2_unit': 200, 'P2P_ksize': 2, 'P0C_feature': 64, 'L2_dropout': 0.0, 'P1P_ksize': 2, 'P2C_filter': 3, 'P0C_filter': 3, 'P2C_feature': 16, 'N_PLayers': 2, 'L1_dropout': 0.5, 'P1C_feature': 32, 'P1C_filter': 3}
0.399, {'P0P_ksize': 3, 'L2_unit': 200, 'P2P_ksize': 2, 'P0C_feature': 64, 'L2_dropout': 0.0, 'P1P_ksize': 2, 'P2C_filter': 3, 'P0C_filter': 3, 'P2C_feature': 16, 'N_PLayers': 3, 'L1_dropout': 0.5, 'P1C_feature': 32, 'P1C_filter': 3}
0.425, {'P0P_ksize': 3, 'L2_unit': 200, 'P2P_ksize': 2, 'P0C_feature': 64, 'L2_dropout': 0.0, 'P1P_ksize': 2, 'P2C_filter': 3, 'P0C_filter': 3, 'P2C_feature': 16, 'N_PLayers': 2, 'L1_dropout': 0.5, 'P1C_feature': 64, 'P1C_filter': 3}
0.378, {'P0P_ksize': 3, 'L2_unit': 200, 'P2P_ksize': 2, 'P0C_feature': 32, 'L2_dropout': 0.0, 'P1P_ksize': 2, 'P2C_filter': 3, 'P0C_filter': 3, 'P2C_feature': 16, 'N_PLayers': 2, 'L1_dropout': 0.5, 'P1C_feature': 64, 'P1C_filter': 3}
0.410, {'P0P_ksize': 3, 'L2_unit': 200, 'P2P_ksize': 2, 'P0C_feature': 64, 'L2_dropout': 0.0, 'P1P_ksize': 2, 'P2C_filter': 3, 'P0C_filter': 3, 'P2C_feature': 16, 'N_PLayers': 3, 'L1_dropout': 0.5, 'P1C_feature': 64, 'P1C_filter': 3}
0.406, {'P0P_ksize': 3, 'L2_unit': 200, 'P2P_ksize': 2, 'P0C_feature': 64, 'L2_dropout': 0.0, 'P1P_ksize': 2, 'P2C_filter': 3, 'P0C_filter': 3, 'P2C_feature': 32, 'N_PLayers': 2, 'L1_dropout': 0.5, 'P1C_feature': 64, 'P1C_filter': 3}
0.410, {'P0P_ksize': 3, 'L2_unit': 200, 'P2P_ksize': 2, 'P0C_feature': 64, 'L2_dropout': 0.0, 'P1P_ksize': 2, 'P2C_filter': 3, 'P0C_filter': 3, 'P2C_feature': 8, 'N_PLayers': 2, 'L1_dropout': 0.5, 'P1C_feature': 64, 'P1C_filter': 3}
0.412, {'P0P_ksize': 3, 'L2_unit': 200, 'P2P_ksize': 2, 'P0C_feature': 64, 'L2_dropout': 0.0, 'P1P_ksize': 2, 'P2C_filter': 3, 'P0C_filter': 5, 'P2C_feature': 16, 'N_PLayers': 2, 'L1_dropout': 0.5, 'P1C_feature': 64, 'P1C_filter': 3}
0.397, {'P0P_ksize': 3, 'L2_unit': 200, 'P2P_ksize': 2, 'P0C_feature': 64, 'L2_dropout': 0.0, 'P1P_ksize': 2, 'P2C_filter': 3, 'P0C_filter': 3, 'P2C_feature': 16, 'N_PLayers': 2, 'L1_dropout': 0.5, 'P1C_feature': 64, 'P1C_filter': 5}
0.410, {'P0P_ksize': 3, 'L2_unit': 200, 'P2P_ksize': 2, 'P0C_feature': 64, 'L2_dropout': 0.0, 'P1P_ksize': 2, 'P2C_filter': 5, 'P0C_filter': 3, 'P2C_feature': 16, 'N_PLayers': 2, 'L1_dropout': 0.5, 'P1C_feature': 64, 'P1C_filter': 3}
0.403, {'P0P_ksize': 4, 'L2_unit': 200, 'P2P_ksize': 2, 'P0C_feature': 64, 'L2_dropout': 0.0, 'P1P_ksize': 2, 'P2C_filter': 3, 'P0C_filter': 3, 'P2C_feature': 16, 'N_PLayers': 2, 'L1_dropout': 0.5, 'P1C_feature': 64, 'P1C_filter': 3}
0.377, {'P0P_ksize': 2, 'L2_unit': 200, 'P2P_ksize': 2, 'P0C_feature': 64, 'L2_dropout': 0.0, 'P1P_ksize': 2, 'P2C_filter': 3, 'P0C_filter': 3, 'P2C_feature': 16, 'N_PLayers': 2, 'L1_dropout': 0.5, 'P1C_feature': 64, 'P1C_filter': 3}
0.403, {'P0P_ksize': 3, 'L2_unit': 200, 'P2P_ksize': 2, 'P0C_feature': 64, 'L2_dropout': 0.0, 'P1P_ksize': 3, 'P2C_filter': 3, 'P0C_filter': 3, 'P2C_feature': 16, 'N_PLayers': 2, 'L1_dropout': 0.5, 'P1C_feature': 64, 'P1C_filter': 3}
0.381, {'P0P_ksize': 3, 'L2_unit': 200, 'P2P_ksize': 2, 'P0C_feature': 64, 'L2_dropout': 0.0, 'P1P_ksize': 1, 'P2C_filter': 3, 'P0C_filter': 3, 'P2C_feature': 16, 'N_PLayers': 2, 'L1_dropout': 0.5, 'P1C_feature': 64, 'P1C_filter': 3}
0.412, {'P0P_ksize': 3, 'L2_unit': 200, 'P2P_ksize': 3, 'P0C_feature': 64, 'L2_dropout': 0.0, 'P1P_ksize': 2, 'P2C_filter': 3, 'P0C_filter': 3, 'P2C_feature': 16, 'N_PLayers': 2, 'L1_dropout': 0.5, 'P1C_feature': 64, 'P1C_filter': 3}
